Slide Type,Table Type,Title,Table Name,Target Calls,Data,,,,,,,,,,,,
Skip,,,Title Slide,,,,,,,,,,,,,,
Single,Ripple,All Accounts,Combined,3528,10/08/2023,"$214,463","98@$2,188",0.50,"1,778@$121","$138,182","71@$1,946",0.57,"1,778@$78","$76,281","27@$2,825",0.38,0@$0
Single,Ripple,All Google,,,10/08/2023,"$138,182",,"71@$1,946",0.57,"1,778@$78","(,25,46,)","$722,119",,"480@$1,504",0.77,"8,906@$81","(,210,270,)"
Single,Ripple,Goog/Criminal,,,10/08/2023,"$65,433","13@$5,033","17@$3,849",0.34,615@$106,"(,13,4,)","$278,217","148@$1,880","168@$1,656",0.83,"2,705@$103","(,148,20,)"
Single ,Ripple,Goog/Immigration,,,10/08/2023,"$39,747","28@$1,420","29@$1,371",0.71,556@$71,"(,1,28,)","$287,994","182@$1,582","195@$1,477",0.66,"3,511@$82","(,13,182,)"
Single,Ripple,Goog/Brand,,,10/08/2023,"$24,933",,"23@$1,084",1.05,574@$43,"(,9,14,)","$113,149",,"112@$1,010",1.13,"2,555@$44","(,46,66,)"
Single,Ripple,Goog/Competitor,,,10/08/2023,$488,,2@$244,5.84,4@$122,"(,2,,)","$1,450",,4@$362,3.60,13@$112,"(,3,1,)"
Single,Ripple,Goog/PI,,,10/08/2023,"$6,746",0@$0,0@$0,0.00,22@$307,"(,,,)","$36,091",0@$0,0@$0,0.00,83@$435,"(,,,)"
Single,Ripple,All Facebook,,,10/08/2023,"$76,281",,"27@$2,825",0.38,0@$0,"(,7,20,)","$257,478",,"180@$1,430",0.75,0@$0,"(,48,132,)"
Single,Ripple,Personal Injury,,,10/08/2023,$0,0@$0,0@$0,0.00,0@$0,"(,,,)",$0,0@$0,0@$0,0.00,0@$0,"(,,,)"
Single,Ripple,Criminal,,,10/08/2023,"$10,309","5@$2,062","9@$1,145",1.06,0@$0,"(,5,4,)","$77,816","37@$2,103","56@$1,390",0.91,0@$0,"(,37,19,)"
Single,Ripple,Immigration,,,10/08/2023,"$65,972","16@$4,123","18@$3,665",0.27,0@$0,"(,2,16,)","$179,662","113@$1,590","124@$1,449",0.68,0@$0,"(,11,113,)"
Multiple,Ripple,Los Angeles,Combined,,10/08/2023,"$30,906",,"7@$4,415",0.25,208@$149,"(,2,5,)","$132,471",,"93@$1,424",0.84,995@$133,"(,49,44,)"
,,,Criminal/Los Angeles,192,10/08/2023,"$16,977","2@$8,488","3@$5,659",0.22,120@$141,"(,2,1,)","$62,894","42@$1,497","47@$1,338",1.03,488@$129,"(,42,5,)"
,,,Immigration/Los Angeles,125,10/08/2023,"$7,692","3@$2,564","3@$2,564",0.37,88@$87,"(,,3,)","$46,116","30@$1,537","31@$1,488",0.65,505@$91,"(,1,30,)"
,,,Competitor/Los Angeles,,10/08/2023,$87,,0@$0,0.00,0@$0,"(,,,)",$335,,0@$0,0.00,2@$168,"(,,,)"
,,,Criminal/Los Angeles,,10/08/2023,"$1,002",0@$0,"1@$1,002",0.95,0@$0,"(,,1,)","$2,707","1@$2,707","2@$1,354",0.88,0@$0,"(,1,1,)"
,,,Immigration/Los Angeles,100,10/08/2023,"$5,148",0@$0,0@$0,0.00,0@$0,"(,,,)","$20,419","8@$2,552","13@$1,571",0.72,0@$0,"(,5,8,)"
Multiple,Ripple,San Jose ,Combined,,10/08/2023,"$22,688",,"6@$3,781",0.31,103@$220,"(,3,3,)","$72,697",,"43@$1,691",0.67,563@$129,"(,17,26,)"
,,,Criminal/San Jose,95,10/08/2023,"$5,697","2@$2,848","2@$2,848",0.50,45@$127,"(,2,,)","$24,373","11@$2,216","11@$2,216",0.64,211@$116,"(,11,,)"
,,,Immigration/San Jose,62,10/08/2023,"$3,567","1@$3,567","1@$3,567",0.27,58@$62,"(,,1,)","$25,331","15@$1,689","17@$1,490",0.68,352@$72,"(,2,15,)"
,,,Competitor/San Jose,,10/08/2023,$0,,0@$0,0.00,0@$0,"(,,,)",$0,,0@$0,0.00,0@$0,"(,,,)"
,,,Criminal/San Jose,,10/08/2023,"$1,502","1@$1,502",2@$751,1.58,0@$0,"(,1,1,)","$5,418","4@$1,354","5@$1,084",1.23,0@$0,"(,4,1,)"
,,,Immigration/San Jose,112,10/08/2023,"$11,922","1@$11,922","1@$11,922",0.08,0@$0,"(,,1,)","$17,575","10@$1,758","10@$1,758",0.54,0@$0,"(,,10,)"
Multiple,Ripple,Ontario,Combined,,10/08/2023,"$9,458",,"2@$4,729",0.25,55@$172,"(,1,1,)","$40,458",,"23@$1,759",0.67,292@$139,"(,11,12,)"
,,,Criminal/Ontario,64,10/08/2023,"$6,550","1@$6,550","1@$6,550",0.22,37@$177,"(,1,,)","$21,160","10@$2,116","12@$1,763",0.76,162@$131,"(,10,2,)"
,,,Immigration/Ontario,32,10/08/2023,"$1,647","1@$1,647","1@$1,647",0.58,18@$92,"(,,1,)","$11,387","5@$2,277","6@$1,898",0.54,130@$88,"(,1,5,)"
,,,Competitor/Ontario,,10/08/2023,$0,,0@$0,0.00,0@$0,"(,,,)",$0,,0@$0,0.00,0@$0,"(,,,)"
,,,Criminal/Ontario,,10/08/2023,$184,0@$0,0@$0,0.00,0@$0,"(,,,)",$883,0@$0,0@$0,0.00,0@$0,"(,,,)"
,,,Immigration/Ontario,43,10/08/2023,"$1,077",0@$0,0@$0,0.00,0@$0,"(,,,)","$7,028","5@$1,406","5@$1,406",0.68,0@$0,"(,,5,)"
Multiple,Ripple,Fresno,Combined,,10/08/2023,"$7,887",,"3@$2,629",0.42,25@$315,"(,1,2,)","$32,471",,"22@$1,476",0.79,134@$242,"(,10,12,)"
,,,Criminal/Fresno,31,10/08/2023,$940,0@$0,0@$0,0.00,5@$188,"(,,,)","$11,157","7@$1,594","7@$1,594",0.89,64@$174,"(,7,,)"
,,,Immigration/Fresno,16,10/08/2023,"$1,399",2@$700,2@$700,1.36,19@$74,"(,,2,)","$6,279","6@$1,046","6@$1,046",0.91,68@$92,"(,,6,)"
,,,Competitor/Fresno,,10/08/2023,$18,,0@$0,0.00,1@$18,"(,,,)",$265,,0@$0,0.00,2@$132,"(,,,)"
,,,Criminal/Fresno,,10/08/2023,"$1,266",0@$0,0@$0,0.00,0@$0,"(,,,)","$6,343","2@$3,172","5@$1,269",0.90,0@$0,"(,2,3,)"
,,,Immigration/Fresno,76,10/08/2023,"$4,264",0@$0,"1@$4,264",0.33,0@$0,"(,1,,)","$8,427","3@$2,809","4@$2,107",0.51,0@$0,"(,1,3,)"
Multiple,Ripple,Santa Ana,Combined,,10/08/2023,"$7,223",,"2@$3,612",0.33,54@$134,"(,1,1,)","$40,169",,"26@$1,545",0.79,301@$133,"(,15,11,)"
,,,Criminal/Santa Ana,17,10/08/2023,"$3,641",0@$0,0@$0,0.00,29@$126,"(,,,)","$22,593","13@$1,738","13@$1,738",0.82,155@$146,"(,13,,)"
